,Name,Address,Coordinates
191,Ling's Chop Suey House,"2100 Kanoelehua Ave Hilo, HI 96720","{'latitude': 19.691656, 'longitude': -155.067106}"
192,Sunlight Cafe,"1263 Kilauea Ave Ste 280B Hilo, HI 96720","{'latitude': 19.710168838501, 'longitude': -155.07600402832}"
193,Pizza Ala Slice,"111 E Puainako St Hilo, HI 96720","{'latitude': 19.696983, 'longitude': -155.064099}"
194,The Hot Dog Guy,"380 Kanoelehua Ave Hilo, HI 96720","{'latitude': 19.71732, 'longitude': -155.06502}"
195,Cheng's Chop Suey House,"138 Hualalai St Hilo, HI 96720","{'latitude': 19.71724667, 'longitude': -155.08275167}"
196,Big Island Birria Boss,"380 Kanoelehua Rd Hilo, HI 96720","{'latitude': 19.71732, 'longitude': -155.06502}"
197,Surf Break Cafe,"28-1692 Old Mamalahoa Hwy Honomu, HI 96728","{'latitude': 19.870379109163935, 'longitude': -155.11409593818942}"
198,Onomea Country Market & Cafe,"28-1099 Old Mamalahoa Hwy Pepeekeo, HI 96783","{'latitude': 19.83072044528586, 'longitude': -155.0971922}"
199,Baskin-Robbins,"2100 Kanoelehua Ave Ste D2 Hilo, HI 96720","{'latitude': 19.690083, 'longitude': -155.066279}"
200,Bite The Eye,"15-2059 Keaau Pahoa Rd Pahoa, HI 96778","{'latitude': 19.542447687269433, 'longitude': -154.97362078417123}"
201,Mr Cow,"315 Makaala St Hilo, HI 96720","{'latitude': 19.70124, 'longitude': -155.0636}"
202,Little Caesars Pizza,"125 Kekuanaoa St Ste 201 Hilo, HI 96720","{'latitude': 19.7116903442747, 'longitude': -155.076371600846}"
203,Fairway Grill,"340 Haihai St Hilo, HI 96720","{'latitude': 19.674220981513404, 'longitude': -155.07684572036214}"
204,Starbucks,"111 E Puainako St Hilo, HI 96720","{'latitude': 19.69871437, 'longitude': -155.06164099}"
205,Coco Cantina - Hilo,"194 Kilauea Ave Ste 105 Hilo, HI 96778","{'latitude': 19.7215621, 'longitude': -155.0856272}"
206,Hilo Yacht Club,"77 Laehala St Hilo, HI 96720","{'latitude': 19.736476832529, 'longitude': -155.03362345317}"
207,Hale Inu Sports Bar,"399 Hualani St Hilo, HI 96720","{'latitude': 19.71454632947158, 'longitude': -155.0739652819722}"
208,McDonald's,"2100 Kanoelehua Ave Hilo, HI 96720","{'latitude': 19.6912097, 'longitude': -155.0663614}"
209,Kurtistown Cafe,"17-353 Volcano Rd Kurtistown, HI 96760","{'latitude': 19.592985, 'longitude': -155.057269}"
210,Wailuku River State Park,"2-198 Rainbow Dr Hilo, HI 96720","{'latitude': 19.717954, 'longitude': -155.110627}"
211,Luquin’s Mexican Restaurant,"15-1448 Kahakai Blvd Pāhoa, HI 96778","{'latitude': 19.50447831040302, 'longitude': -154.95423068132354}"
212,Sunlight Express,"111 E Puainako St Hilo, HI 96720","{'latitude': 19.6975398977595, 'longitude': -155.063247547861}"
213,Nicoco,"15-2929 Pahoa Village Rd Pahoa, HI 96778","{'latitude': 19.4973010278322, 'longitude': -154.950767484656}"
214,Shaka Tea,"116 Keawe St Hilo, HI 96720","{'latitude': 19.72541, 'longitude': -155.0878357}"
215,Margarita Village,"11 Silva St Hilo, HI 96720","{'latitude': 19.7272605895996, 'longitude': -155.054061889648}"
216,Hilo Sharks Coffee,"28-1672 Old Mamalahoa Hwy Ste 28 Honomu, HI 96728","{'latitude': 19.8694222682398, 'longitude': -155.11332783848}"
217,Big Island Fusion,"380 Kanoelehua Ave Hilo, HI 96720","{'latitude': 19.7170240190292, 'longitude': -155.064796475353}"
218,Taco Aina,"Keaau, HI 96749","{'latitude': 19.620281219482422, 'longitude': -155.036376953125}"
219,The Coffee Bean & Tea Leaf,"16-586 Old Volcano Rd Ste P206 Keaau, HI 96749","{'latitude': 19.622392019566792, 'longitude': -155.03971583818293}"
220,KFC,"111 E Puainako Rd Hilo, HI 96720","{'latitude': 19.6989895023496, 'longitude': -155.061619107581}"
221,Panchos Tacos,"15-2942 Pahoa Village Rd Pahoa, HI 96778","{'latitude': 19.4937404, 'longitude': -154.9454773}"
222,Wailoa River State Recreation Area,"Piilani St Hilo, HI 96720","{'latitude': 19.71642, 'longitude': -155.06849}"
223,Jack in the Box,"50 E Puainako St Hilo, HI 96720","{'latitude': 19.6925742934388, 'longitude': -155.066442489624}"
224,Peggy's Lounge,"760 Piilani St Hilo, HI 96720","{'latitude': 19.7162082, 'longitude': -155.0673769}"
225,New China Restaurant,"510 Kilauea Ave Hilo, HI 96720","{'latitude': 19.7188549041748, 'longitude': -155.081802368164}"
226,Nani Mau Garden & Restaurant,"421 Makalika St Hilo, HI 96720","{'latitude': 19.67136, 'longitude': -155.055211}"
227,Frankie's Pizza,"18 1314 Hwy 11 Mountain View, HI 96771","{'latitude': 19.5514279314318, 'longitude': -155.10686673224}"
228,Ha'ena Beach - aka Shipman Beach,"Kaloli Dr Keaau, HI 96749","{'latitude': 19.64341610784341, 'longitude': -154.9829220912098}"
229,Big Island Mexican Foods,"16-203 Wiliama Pl Keaau, HI 96749","{'latitude': 19.6377314688564, 'longitude': -155.04428467515}"
230,Coco Cantina,"15-2714 Pahoa Village Rd Ste I-3 Pāhoa, HI 96778","{'latitude': 19.50244608797325, 'longitude': -154.9555071435256}"
231,Kamehameha The Great Statue,"774 Kamehameha Ave Hilo, HI 96720","{'latitude': 19.7218048, 'longitude': -155.0783263}"
232,Lemongrass Express Hilo,"315 Makaala St Hilo, HI 96720","{'latitude': 19.70170440237363, 'longitude': -155.06315528970666}"
233,A&J’s Kitchen,"15-2874 Pahoa Rd Pahoa, HI 96778","{'latitude': 19.4947564006393, 'longitude': -154.948386658838}"
234,Sushi Hawaii Rolls & Bowls,"15-2714 Pahoa Village Rd Ste D3 Pahoa, HI 96778","{'latitude': 19.502543274708785, 'longitude': -154.956325}"
235,Hawaii Plantation Museum,"27-246 Old Mamalahoa Hwy Papaikou, HI 96781","{'latitude': 19.783476189293, 'longitude': -155.09320834425}"
236,EpicLava,"11-2083 Jungle King Rd Mountain View, HI 96771","{'latitude': 19.5357609301519, 'longitude': -155.048602914497}"
237,Liko Lehua Cafe,"177 Kaumana St Hilo, HI 96720","{'latitude': 19.713337593008795, 'longitude': -155.106330397104}"
238,Affordable Catering & Okazuya,"811 Laukapu St Ste 1 Hilo, HI 96720","{'latitude': 19.70673, 'longitude': -155.06677}"
239,Pizza Hut,"326 Kilauea Ave Hilo, HI 96720","{'latitude': 19.7207197833684, 'longitude': -155.084008500007}"
240,Kilauea Coffee,"195 Kilauea Ave Hilo, HI 96720","{'latitude': 19.72203, 'longitude': -155.0851752}"
241,Rainbow Falls Connection,"47 Rainbow Dr Hilo, HI 96720","{'latitude': 19.719298818374956, 'longitude': -155.10942137213115}"
242,Onomea Bay,"Papaikou, HI 96781","{'latitude': 19.80932589795322, 'longitude': -155.0937117664551}"
243,Circ Du Latte,"301 Keawe St Hilo, HI 96720","{'latitude': 19.7233504, 'longitude': -155.0861603}"
244,Pizza Hut,"16-586 Old Volcano Rd Ste 1 Keaau, HI 96749","{'latitude': 19.621920381614935, 'longitude': -155.04074117055202}"
245,Paradise Coffee Roasters,"250 Keawe St Hilo, HI 96720","{'latitude': 19.72374, 'longitude': -155.08686}"
246,Duck Fat Food Truck,"Hilo, HI 96720","{'latitude': 19.673052809354292, 'longitude': -155.2227874111058}"
247,Anuenue's Kitchen,"Hilo, HI 96720","{'latitude': 19.7002107640964, 'longitude': -155.08107433746}"
248,Aunty Yong's Place,"688 Kinoole St Hilo, HI 96720","{'latitude': 19.71745, 'longitude': -155.08483}"
249,Lincoln Park,"405 Kinoole St Hilo, HI 96720","{'latitude': 19.721301346410772, 'longitude': -155.086395412648}"
250,Kaleo's Bar and Grill,"16-110 Orchid Land Dr Keaau, HI 96749","{'latitude': 19.56023, 'longitude': -154.99301}"
251,Hawaii BBQ Deli,"111 E Puainako St Unit 570 Hilo, HI 96720","{'latitude': 19.697428, 'longitude': -155.06336}"
252,Bananarama Bakery,"15-2929 Pahoa Village Rd Pāhoa, HI 96778","{'latitude': 19.4940349, 'longitude': -154.9457505}"
253,Honoli'i Beach Park,"180 Kahoa St Hilo, HI 96720","{'latitude': 19.7551816, 'longitude': -155.0910392}"
254,Subway,"194 Kilauea Ave Unit 104 Hilo, HI 96720","{'latitude': 19.7216580059159, 'longitude': -155.0855018782}"
255,Boogie Woogie Pizza,"15-2937 Pahoa Village Rd Pahoa, HI 96778","{'latitude': 19.4939888827912, 'longitude': -154.945601427}"
256,Manas Aloha Farm,"Aloaka Falls Rd Pepeekeo, HI 96783","{'latitude': 19.8491816458642, 'longitude': -155.145892711642}"
257,Minit Stop,"26 Kekela St Hilo, HI 96720","{'latitude': 19.69591966896939, 'longitude': -155.06643727319252}"
258,The Naha Stone,"300 Waianuenue Ave Hilo, HI 96720","{'latitude': 19.7243654547628, 'longitude': -155.090758188028}"
259,L&L Hawaiian Barbecue,"315 Makaala St Ste 106-3 Waiakea Shopping Center Waiakea, HI 96720","{'latitude': 19.701433, 'longitude': -155.062777}"
260,McDonald's,"255 Kinoole St Hilo, HI 96720","{'latitude': 19.72321883584609, 'longitude': -155.0874119}"
261,I Want Ice Cream,"15-2660 Pahoa Village Rd Ste 202 Pāhoa, HI 96778","{'latitude': 19.50504, 'longitude': -154.95806}"
262,Cinnabon,"111 E Puainako St Ste 432 Hilo, HI 96720","{'latitude': 19.69775, 'longitude': -155.063918}"
263,L&L Hawaiian Barbecue,"348 Kinoole St Hilo, HI 96720","{'latitude': 19.72175, 'longitude': -155.08718}"
264,Whatta Waffle,"614 Kilauea Ave Hilo, HI 96720","{'latitude': 19.7006939, 'longitude': -155.0606425}"
265,Subway,"2100 D-1 Building D Kanoelehua Ave Space Space D-1, Bldg D Puainako Center Hilo, HI 96720","{'latitude': 19.6901623, 'longitude': -155.0661941}"
266,La Jefa Island Tacos,"16-1672 Keaau Pahoa Rd Keaau, HI 96749","{'latitude': 19.560973, 'longitude': -154.993569}"
267,Haneul Cafe,"417 Kalanikoa St Hilo, HI 96720","{'latitude': 19.71689969155004, 'longitude': -155.0654354418043}"
268,Domino’s Pizza,"315 Makaala St Ste 109 Hilo, HI 96720","{'latitude': 19.701358, 'longitude': -155.063457}"
269,Yum Yum Teriyaki,"111 E Puainako St Ste 568 Hilo, HI 96720","{'latitude': 19.6970909352346, 'longitude': -155.064054890282}"
270,Orchidland General Store,"16-125 Orchidland Dr Keaau, HI 96749","{'latitude': 19.5524427, 'longitude': -155.0048389}"
271,Alibi Tavern,"16-566 Keaau-Pahoa Rd Keaau, HI 96749","{'latitude': 19.621731, 'longitude': -155.039108}"
272,Sirius Coffee,"15-2874 Pahoa Village Rd Pahoa, HI 96778","{'latitude': 19.4945336, 'longitude': -154.9483733}"
273,Thep Thai Cuisine,"15-2714 Pahoa Village Rd Ste P1 Pahoa, HI 96778","{'latitude': 19.502533, 'longitude': -154.95613}"
274,Black Rock Cafe,"15-2872 Pahoa Village Rd Pahoa, HI 96778","{'latitude': 19.49493, 'longitude': -154.948651}"
275,Machado Acres Park,"1622 Keone St Hilo, HI 96720","{'latitude': 19.67579398724363, 'longitude': -155.08726704088022}"
276,Bayfront Park,"1273 Kamehameha Ave Hilo, HI 96720","{'latitude': 19.7229184018805, 'longitude': -155.074596405029}"
277,L&L Hawaiian Barbecue,"16-586 Old Volcano Rd Ste 104 Keaau, HI 96749","{'latitude': 19.622269404796207, 'longitude': -155.0407772914131}"
278,Liliuokalani Park and Gardens,"189 Lihiwai St Ste 151 Hilo, HI 96720","{'latitude': 19.72579608391994, 'longitude': -155.06944958120584}"
279,E Komo Mai Diner Bar & Grill,"1550 Kamehameha Ave Hilo, HI 96720","{'latitude': 19.72215, 'longitude': -155.06709}"
280,McDonald's,"16-565 Old Volcano Rd Keaau, HI 96749","{'latitude': 19.6220488202064, 'longitude': -155.039260983467}"
281,808 LOCAL FLAVAH,"330 Kamehameha Ave Ste 102 Hilo, HI 96720","{'latitude': 19.7236213, 'longitude': -155.0849898}"
282,Keaau Filipino Food Store,"16-577 Old Volcano Rd Keaau, HI 96749","{'latitude': 19.62111, 'longitude': -155.03993}"
283,Muliwai Trail To Waimanu Valley,"19 E Kawili St Island of Hawaii District Office Dept of Land & Natural Resourc Hilo, HI 96720","{'latitude': 19.7039588, 'longitude': -155.0724084}"
284,Maona Food Truck,"Hilo, HI 96720","{'latitude': 19.71664, 'longitude': -155.08526}"
285,75 Degrees cafe,"1261 Kilauea Ave Ste 221 Hilo, HI 96720","{'latitude': 19.71033, 'longitude': -155.07558}"
286,New Star Bakery,"266 Makaala St Hilo, HI 96720","{'latitude': 19.69877, 'longitude': -155.06602}"
287,Grand Naniloa Resort Golf Club,"120 Banyan Dr Hilo, HI 96720","{'latitude': 19.722764, 'longitude': -155.064651}"
288,Texas Island BBQ,"15-1594 4th Ave Keaau, HI 96749","{'latitude': 19.6054621, 'longitude': -154.9609532}"
289,Hawaii Science and Technology Museum,"64 Keawe St Ste 201 Hilo, HI 96720","{'latitude': 19.726029114942275, 'longitude': -155.0882231}"
290,Burger King,"368A E Makaala St Hilo, HI 96720","{'latitude': 19.698912, 'longitude': -155.0606727}"
291,Laniakea Cafe,"2350 Kekuanaoa St Hilo, HI 96720","{'latitude': 19.714766049975367, 'longitude': -155.03948068220885}"
292,Subway,"16-586 Old Volcano Rd P201 -203 P201 -203 Keaau, HI 96749","{'latitude': 19.622353, 'longitude': -155.039635}"
293,Dairy Queen/Orange Julius Treat Ctr,"111 E Puainako St Prince Kuhio Plaza (Hawa'i) Hilo, HI 96720","{'latitude': 19.697399, 'longitude': -155.063358}"
294,Pana'ewa Park,"100 Ohuohu St Hilo, HI 96720","{'latitude': 19.69217, 'longitude': -155.061891}"
295,Leleiwi Beach Park,"2300 Kalanianaole Ave Hilo, HI 96720","{'latitude': 19.7343519247687, 'longitude': -155.015454283012}"
296,Baumkuchen Farm,"27-714 Ka'ie'ie Rd Papaikou, HI 96781","{'latitude': 19.79175, 'longitude': -155.12638}"
297,Pizza Hut,"2200 Kinoole St Hilo, HI 96720","{'latitude': 19.68438, 'longitude': -155.069717}"
298,Hula Lounge Lobby Bar,"93 Banyan Dr Hilo, HI 96720","{'latitude': 19.72962, 'longitude': -155.06499}"
299,Wai'ale Falls,"Waianuenue Ave Hilo, HI 96720","{'latitude': 19.71860389992004, 'longitude': -155.1424145122506}"
300,Zan's Grindz,"275 E Kawili St In Hilo Brewing Hilo, HI 96720","{'latitude': 19.7060705, 'longitude': -155.0692177}"
301,Mighty Sushi,"15-2660 Keaau Pahoa Rd Pahoa Marketplace Pahoa, HI 96778","{'latitude': 19.508546, 'longitude': -154.958946}"
302,Soontaree's Deli,"101 Aupuni St Ste 227A Hilo, HI 96720","{'latitude': 19.7174129486084, 'longitude': -155.076705932617}"
303,Burger King,"580 Kilauea Ave Hilo, HI 96720","{'latitude': 19.71821, 'longitude': -155.08111}"
304,Colombian Snacks,"W Kawili St & W Puainako St Hilo, HI 96720","{'latitude': 19.69393, 'longitude': -155.08128}"
305,Hilo Ice Shave,"500 Manono St Unit 101 Hilo, HI 96720","{'latitude': 19.715723074073622, 'longitude': -155.07056635522275}"
306,Salti Gear Lemonade,"Hilo, HI 96720","{'latitude': 19.71924, 'longitude': -155.08186}"
307,Banzos,"15-2714 Pahoa Village Rd Unit D2 Puna Kai Shopping Center Pahoa, HI 96778","{'latitude': 19.5028467, 'longitude': -154.9556714}"
308,Pu’u ‘Ō’ō Trail,"23 State Rte 200 Hilo, HI 96720","{'latitude': 19.71626, 'longitude': -155.10332}"
309,@islandwoodfired,"Hilo, HI 96720","{'latitude': 19.71924, 'longitude': -155.08186}"
310,Kalakaua Park,"136 Kalakaua St Hilo, HI 96720","{'latitude': 19.7250422173369, 'longitude': -155.088025748945}"
311,Minit Stop,"763 Leilani St Hilo, HI 96720","{'latitude': 19.70962, 'longitude': -155.0646999}"
312,No. 1 Chinese Barbeque,"15-2660 Pahoa Village Rd Pahoa, HI 96778","{'latitude': 19.50504, 'longitude': -154.95806}"
313,Hawaiian Airlines Premier Club,"2450 Kekuanaoa St Hilo, HI 96720","{'latitude': 19.7152155444586, 'longitude': -155.039928525399}"
314,Triple Pine Pizza,"Hilo, HI 96720","{'latitude': 19.7178401947021, 'longitude': -155.087936401367}"
315,Lava Shack,"15-2929 Pahoa Village Rd Pāhoa, HI 96778","{'latitude': 19.4939796182027, 'longitude': -154.945870824158}"
316,Reeds Bay Beach Park,"251 Banyan Dr Hilo, HI 96720","{'latitude': 19.7251907587488, 'longitude': -155.060713291168}"
317,Kohala Coffee,"15-2714 Pahoa Village Rd Ste P2 Pāhoa, HI 96778","{'latitude': 19.502954390608, 'longitude': -154.95697154381816}"
318,CoMechee Iceshave,"213 Kalanianaole St Hilo, HI 96720","{'latitude': 19.724547957758176, 'longitude': -155.06089002330802}"
319,La Hiki Ola Kava Bar,"15-2950 Pahoa Village Rd Pāhoa, HI 96778","{'latitude': 19.4937887697271, 'longitude': -154.945199012014}"
320,Starbucks,"381 Makaala St Safeway Hilo, HI 96720","{'latitude': 19.70063771, 'longitude': -155.06088907}"
321,Ahualani Park,"1516 Kikaha St Hilo, HI 96720","{'latitude': 19.6777939, 'longitude': -155.0967874}"
322,Hawaiian Style Pizza,"1177 Kilauea Ave Hilo, HI 96720","{'latitude': 19.712087, 'longitude': -155.076354}"
323,Panda Express,"376 Kilauea Ave Hilo, HI 96720","{'latitude': 19.72018, 'longitude': -155.08343}"
324,Big Island Coffee Roasters,"161193 Uhini Ana Rd Mountain View, HI 96771","{'latitude': 19.5474155146485, 'longitude': -155.086372457672}"
325,Ricos Tacos,"Hilo, HI 96720","{'latitude': 19.673052809354292, 'longitude': -155.2227874111058}"
326,The Honey Hut,"Honomu, HI 96728","{'latitude': 19.869545834303118, 'longitude': -155.1124031536816}"
327,Singing Bridge,"Hwy 19 Hilo, HI 96720","{'latitude': 19.7282807795582, 'longitude': -155.08743926265}"
328,Lava Thai Food,"Keaau, HI 96749","{'latitude': 19.615565780776446, 'longitude': -155.03719116624282}"
329,Tilt Prince Kuhio,"111 E Puainako St Hilo, HI 96720","{'latitude': 19.696929, 'longitude': -155.063968}"
330,L&L Hawaiian Barbecue,"15-2714 Pahoa Village Rd Ste C-1 Pahoa, HI 96778","{'latitude': 19.502986577418937, 'longitude': -154.9566039047051}"
331,Da Beans Green,"17-937 Volcano Rd Mountain View, HI 96771","{'latitude': 19.52819, 'longitude': -155.13381}"
332,University Heights Park,"350 Kalili St Hilo, HI 96720","{'latitude': 19.70554029675515, 'longitude': -155.06671604371545}"
333,McDonald's,"325 E Makaala St Hilo, HI 96720","{'latitude': 19.69997, 'longitude': -155.06195}"
334,Center Plate,"2450 Kekuanaoa St Hilo, HI 96720","{'latitude': 19.714613, 'longitude': -155.039638}"
335,Kalo Bombs Hawaii,"15-2874 Pahoa Village Rd Pāhoa, HI 96778","{'latitude': 19.49462, 'longitude': -154.94828}"
336,Pudgee Panda,"15-2714 Pahoa Village Rd Pāhoa, HI 96778","{'latitude': 19.502531160534264, 'longitude': -154.95633036696162}"
337,Hilo Breakwater,"1017 Kalanianaole Ave Hilo, HI 96720","{'latitude': 19.7327764094219, 'longitude': -155.051446929574}"
338,Mo’oheau Park,"231 Kamehameha Ave Hilo, HI 96720","{'latitude': 19.7239427292272, 'longitude': -155.08423325082}"
339,Smokin Okies BBQ,"Pāhoa, HI 96778","{'latitude': 19.55585, 'longitude': -154.89306}"
340,Kealoha Beach Park,"1701 Kalanianaole Ave Hilo, HI 96720","{'latitude': 19.7351520340121, 'longitude': -155.033601628064}"
341,Naniloa Golf Course Driving Range,"120 Banyan Dr Hilo, HI 96720","{'latitude': 19.722771, 'longitude': -155.064653}"
342,Club Rose,"200 Kanoelehua Ave Hilo, HI 96720","{'latitude': 19.72036, 'longitude': -155.06459}"
343,Herbert C. Shipman Park,"Highway 11 Keaau, HI 96749","{'latitude': 19.622094296274, 'longitude': -155.042753219604}"
344,Greenwell Farms,"81-6581 Mamalahoa Hwy Kealakekua, HI 96750","{'latitude': 19.510834421479508, 'longitude': -155.9208118160858}"
345,Aloha Adventures,"1531-1637 Puia Rd Hilo, HI 96720","{'latitude': 19.76511007218574, 'longitude': -155.1183804}"
346,Kaiwiki park,"2391 Kaiwiki Rd Hilo, HI 96720","{'latitude': 19.754199, 'longitude': -155.13992}"
347,Starbucks,"391 Makaala St Target Hilo, HI 96720","{'latitude': 19.70092681, 'longitude': -155.0602293}"
348,Taco Bell,"326 Kilauea Ave. Hilo, HI 96720","{'latitude': 19.720742, 'longitude': -155.083997}"
349,Keaukaha Beach Park,"1185 Kalanianaole Ave Hilo, HI 96720","{'latitude': 19.7326225304863, 'longitude': -155.044897415344}"
350,Hilo Grinds,"1990 Kinoole St Ste 103 Hilo, HI 96720","{'latitude': 19.69050904942358, 'longitude': -155.07050867318796}"
351,"Paradise Meadows, South Point Road","93-2199 S Point Rd Naalehu, HI 96772","{'latitude': 19.049458, 'longitude': -155.662554}"
352,Amigos Cantina,"250 Keawe St Ste C Hilo, HI 96720","{'latitude': 19.7237878, 'longitude': -155.0867954}"
353,Huaka'i Guide Services,"Hilo, HI 96720","{'latitude': 19.7241106, 'longitude': -155.0868193}"
354,The Pahoa Village Museum,"15-2931 Pahoa Village Rd Pahoa, HI 96778","{'latitude': 19.49416, 'longitude': -154.94566}"
355,Pinky's Beach,"45 Silverton Camp Mill Rd Papaikou, HI 96781","{'latitude': 19.78131, 'longitude': -155.09056}"
356,Pahoa Lava Zone Museum,"15-2959 Pahoa Village Rd Pāhoa, HI 96778","{'latitude': 19.49416, 'longitude': -154.9449}"
357,Domino's Pizza,"15-2714 Pahoa Village Rd L-1 Puna Kai Shopping Center Pāhoa, HI 96778","{'latitude': 19.50254, 'longitude': -154.95626}"
358,Subway,"15-2668 Keaau-pahoa Rd Pahoa, HI 96778","{'latitude': 19.5050871772856, 'longitude': -154.957179086623}"
359,Coffee Cove,"11 Silva St Hilo, HI 96720","{'latitude': 19.727253987840395, 'longitude': -155.05400101453534}"
360,Pizza Hut,"605 Laukapu St Ste 103 Hilo, HI 96720","{'latitude': 19.71194, 'longitude': -155.0668}"
361,Minit Stop,"16-119 Orchid Land Dr Keaau, HI 96749","{'latitude': 19.55906, 'longitude': -154.99342}"
362,Cupcakes by Coley,"Pahoa, HI 96778","{'latitude': 19.5045274388715, 'longitude': -154.953410955654}"
363,Cajun Hideaway,"15-3033 Kauhale Rd Pahoa, HI 96778","{'latitude': 19.4936282, 'longitude': -154.9459974}"
364,Kupahua Adventures,"Pahoa, HI 96778","{'latitude': 19.53879, 'longitude': -154.91085}"
365,Akamai Adventure Tours & Travel,"Volcano, HI 96785","{'latitude': 19.42714, 'longitude': -155.23456}"
366,Hawaii island bonsai,"11-2861 Lehua St Mountain View, HI 96771","{'latitude': 19.493753626482, 'longitude': -155.067608048922}"
367,Hawaiian Paradise Park,"15-1570 Maku'u Dr Keaau, HI 96749","{'latitude': 19.6230773657877, 'longitude': -155.040573496513}"
368,Hawaii Forest & Trail,"73-5593 Olowalu St Bldg A Kailua-Kona, HI 96740","{'latitude': 19.6914326, 'longitude': -156.0188924}"
369,Burger King,"15-1450 Kahakai Blvd Pahoa, HI 96778","{'latitude': 19.504168341273, 'longitude': -154.955040961503}"
370,Pohoiki,"Pāhoa, HI 96778","{'latitude': 19.49534034729, 'longitude': -154.949111938477}"
371,Bongo Bens,"Pahoa, HI 96778","{'latitude': 19.49535, 'longitude': -154.94912}"
372,Under The Bodhi Tree,"15-2714 Pahoa Village Rd D1 Pāhoa, HI 96778","{'latitude': 19.50285680011814, 'longitude': -154.9556714}"
373,Pizza Hut,"15-2714 Pahoa Village Rd Bldg D Unit 4 Pahoa, HI 96778","{'latitude': 19.502885154764204, 'longitude': -154.95651433865743}"
374,McDonald's,"15-2714 Pahoa Village Rd Pāhoa, HI 96778","{'latitude': 19.502874154476412, 'longitude': -154.95565337312456}"
375,Plates Of Aloha,"65-1214 Lindsay Rd Waimea, HI 96743","{'latitude': 20.0215814, 'longitude': -155.6694085}"
376,Big Island Tea,"18-2465 N Glenwood Rd Mountain View, HI 96771","{'latitude': 19.50464, 'longitude': -155.17742}"
377,Dj's Pizza and Wings,"15-2945 Pahoa Village Rd Pāhoa, HI 96778","{'latitude': 19.494094, 'longitude': -154.945297}"
