,Unnamed: 0,Name,Address,Coordinates,Name + Address,second_best_match,second_best_score
0,0,"Moody Gardens Hotel, Spa and Convention Center","7 Hope Boulevard, Galveston","{'lat': 29.2734603, 'lng': -94.85032249999999}","Moody Gardens Hotel, Spa and Convention Center7 Hope Boulevard, Galveston","Rainforest Cafe5310 Seawall Boulevard, Galveston",86
1,1,Rainforest Cafe,"5310 Seawall Boulevard, Galveston","{'lat': 29.2707531, 'lng': -94.8202072}","Rainforest Cafe5310 Seawall Boulevard, Galveston","Moody Gardens Hotel, Spa and Convention Center7 Hope Boulevard, Galveston",86
2,2,Landry's Prime Seafood & Steaks,"5310 Seawall Boulevard, Galveston","{'lat': 29.2707352, 'lng': -94.8202317}","Landry's Prime Seafood & Steaks5310 Seawall Boulevard, Galveston","Landry's Prime Seafood & Steaks5310 Seawall Blvd Galveston, TX 77551",88
3,3,Number 13 Prime Steak and Seafood,"7809 Broadway Street, Galveston","{'lat': 29.2850878, 'lng': -94.85753559999999}","Number 13 Prime Steak and Seafood7809 Broadway Street, Galveston","The Spot3204 Seawall Boulevard, Galveston",86
4,4,Fisherman's Wharf,"2200 Harborside Drive, Galveston","{'lat': 29.3089314, 'lng': -94.7936367}","Fisherman's Wharf2200 Harborside Drive, Galveston","Russo's New York Pizzeria & Italian Kitchen - Galveston500 Seawall Boulevard #300, Galveston",86
5,5,The Spot,"3204 Seawall Boulevard, Galveston","{'lat': 29.2836047, 'lng': -94.7980051}","The Spot3204 Seawall Boulevard, Galveston","Drip3204 Seawall Boulevard, Galveston",87
6,6,Shrimp N Stuff,"3901 Avenue O, Galveston","{'lat': 29.2888755, 'lng': -94.8084087}","Shrimp N Stuff3901 Avenue O, Galveston","Moody Gardens Hotel, Spa and Convention Center7 Hope Boulevard, Galveston",86
7,7,Willie G's Seafood & Steaks,"2100 Harborside Drive, Galveston","{'lat': 29.309303, 'lng': -94.79280299999999}","Willie G's Seafood & Steaks2100 Harborside Drive, Galveston","Shrimp N Stuff3901 Avenue O, Galveston",86
8,8,Nick's Kitchen and Beach Bar,"3802 Seawall Boulevard, Galveston","{'lat': 29.2797917, 'lng': -94.8040028}","Nick's Kitchen and Beach Bar3802 Seawall Boulevard, Galveston","Shrimp N Stuff3901 Avenue O, Galveston",86
9,9,Gaido's,"3828 Seawall Boulevard, Galveston","{'lat': 29.2796255, 'lng': -94.80449999999999}","Gaido's3828 Seawall Boulevard, Galveston","Moody Gardens Hotel, Spa and Convention Center7 Hope Boulevard, Galveston",86
10,10,Subway,"4908 Seawall Boulevard, Galveston","{'lat': 29.273623, 'lng': -94.8154952}","Subway4908 Seawall Boulevard, Galveston","Moody Gardens Hotel, Spa and Convention Center7 Hope Boulevard, Galveston",86
11,11,Mario's Seawall Italian Restaurant,"628 Seawall Boulevard, Galveston","{'lat': 29.3043293, 'lng': -94.77317719999999}","Mario's Seawall Italian Restaurant628 Seawall Boulevard, Galveston","The Spot3204 Seawall Boulevard, Galveston",86
12,12,Joe's Crab Shack,"3502 Seawall Boulevard, Galveston","{'lat': 29.28157029999999, 'lng': -94.8014962}","Joe's Crab Shack3502 Seawall Boulevard, Galveston","Russo's New York Pizzeria & Italian Kitchen - Galveston500 Seawall Boulevard #300, Galveston",86
13,13,Papa's Pizza,"4400 Seawall Boulevard, Galveston","{'lat': 29.276502, 'lng': -94.809653}","Papa's Pizza4400 Seawall Boulevard, Galveston","Moody Gardens Hotel, Spa and Convention Center7 Hope Boulevard, Galveston",86
14,14,Mosquito Cafe,"628 14th Street, Galveston","{'lat': 29.3057145, 'lng': -94.7825488}","Mosquito Cafe628 14th Street, Galveston","Moody Gardens Hotel, Spa and Convention Center7 Hope Boulevard, Galveston",86
15,16,Little Daddy’s Gumbo Bar - Galveston,"2107 Postoffice Street, Galveston","{'lat': 29.304882, 'lng': -94.79147340000002}","Little Daddy’s Gumbo Bar - Galveston2107 Postoffice Street, Galveston","The Spot3204 Seawall Boulevard, Galveston",86
16,17,Black Pearl Oyster Bar,"327 23rd Street, Galveston","{'lat': 29.3054649, 'lng': -94.7940474}","Black Pearl Oyster Bar327 23rd Street, Galveston","Moody Gardens Hotel, Spa and Convention Center7 Hope Boulevard, Galveston",86
17,18,The Sunflower Bakery & Cafe,"512 14th Street, Galveston","{'lat': 29.30704979999999, 'lng': -94.78297940000002}","The Sunflower Bakery & Cafe512 14th Street, Galveston","Yamato2104 61st Street, Galveston",86
18,19,Saltwater Grill,"2017 Postoffice Street, Galveston","{'lat': 29.3050765, 'lng': -94.79064299999999}","Saltwater Grill2017 Postoffice Street, Galveston","Moody Gardens Hotel, Spa and Convention Center7 Hope Boulevard, Galveston",86
19,20,Salsas,"4604 Seawall Boulevard, Galveston","{'lat': 29.27554600000001, 'lng': -94.81181699999999}","Salsas4604 Seawall Boulevard, Galveston","Moody Gardens Hotel, Spa and Convention Center7 Hope Boulevard, Galveston",86
20,21,Tongs Happy Buddha,"2827 61st Street, Galveston","{'lat': 29.2679191, 'lng': -94.8276992}","Tongs Happy Buddha2827 61st Street, Galveston","Moody Gardens Hotel, Spa and Convention Center7 Hope Boulevard, Galveston",86
21,22,Rudy & Paco Restaurant and Bar,"2028 Postoffice St, Galveston","{'lat': 29.3053363, 'lng': -94.79108099999999}","Rudy & Paco Restaurant and Bar2028 Postoffice St, Galveston","Shrimp N Stuff3901 Avenue O, Galveston",86
22,23,Yaga's Cafe,"2314 The Strand, Galveston","{'lat': 29.3071481, 'lng': -94.79495179999999}","Yaga's Cafe2314 The Strand, Galveston","Moody Gardens Hotel, Spa and Convention Center7 Hope Boulevard, Galveston",86
23,25,The Original Mexican Cafe,"1401 Market Street, Galveston","{'lat': 29.3079298, 'lng': -94.78360769999999}","The Original Mexican Cafe1401 Market Street, Galveston","Yamato2104 61st Street, Galveston",86
24,26,Yamato,"2104 61st Street, Galveston","{'lat': 29.2780918, 'lng': -94.8316258}","Yamato2104 61st Street, Galveston","Moody Gardens Hotel, Spa and Convention Center7 Hope Boulevard, Galveston",86
25,27,Starbucks,"2808 61st Street, Galveston","{'lat': 29.2708403, 'lng': -94.8279127}","Starbucks2808 61st Street, Galveston","Moody Gardens Hotel, Spa and Convention Center7 Hope Boulevard, Galveston",86
26,28,Fish Tales,"2502 Seawall Boulevard, Galveston","{'lat': 29.2882774, 'lng': -94.79085909999999}","Fish Tales2502 Seawall Boulevard, Galveston","Moody Gardens Hotel, Spa and Convention Center7 Hope Boulevard, Galveston",86
27,29,Galveston's 61st Street Fishing Pier,"6101 Seawall Boulevard, Galveston","{'lat': 29.2649235, 'lng': -94.8252081}","Galveston's 61st Street Fishing Pier6101 Seawall Boulevard, Galveston","The Spot3204 Seawall Boulevard, Galveston",86
28,30,IHOP,"5224 Seawall Boulevard, Galveston","{'lat': 29.2711176, 'lng': -94.8192996}","IHOP5224 Seawall Boulevard, Galveston","Drip3204 Seawall Boulevard, Galveston",89
29,31,Saltgrass Steak House,"1502 Seawall Boulevard, Galveston","{'lat': 29.296032, 'lng': -94.7808646}","Saltgrass Steak House1502 Seawall Boulevard, Galveston","Yamato2104 61st Street, Galveston",86
30,32,Tortuga Mexican Kitchen,"4910 Seawall Boulevard, Galveston","{'lat': 29.2736117, 'lng': -94.81558590000002}","Tortuga Mexican Kitchen4910 Seawall Boulevard, Galveston","Yaga's Cafe2314 The Strand, Galveston",86
31,34,Starbucks,"102 Kempner Street, Galveston","{'lat': 29.308265, 'lng': -94.793302}","Starbucks102 Kempner Street, Galveston","Moody Gardens Hotel, Spa and Convention Center7 Hope Boulevard, Galveston",86
32,36,Russo's New York Pizzeria & Italian Kitchen - Galveston,"500 Seawall Boulevard #300, Galveston","{'lat': 29.3070053, 'lng': -94.7717454}","Russo's New York Pizzeria & Italian Kitchen - Galveston500 Seawall Boulevard #300, Galveston","Rainforest Cafe5310 Seawall Boulevard, Galveston",86
33,37,Subway,"Om, 2521 Broadway Avenue J, Galveston","{'lat': 29.2988534, 'lng': -94.7948808}","SubwayOm, 2521 Broadway Avenue J, Galveston","Moody Gardens Hotel, Spa and Convention Center7 Hope Boulevard, Galveston",86
34,38,Subway,"2302-A 61st Street, Galveston","{'lat': 29.2764403, 'lng': -94.8310272}","Subway2302-A 61st Street, Galveston","Moody Gardens Hotel, Spa and Convention Center7 Hope Boulevard, Galveston",86
35,39,Subway,"500 Seawall Boulevard Suite 400, Galveston","{'lat': 29.3063837, 'lng': -94.7718834}","Subway500 Seawall Boulevard Suite 400, Galveston","Moody Gardens Hotel, Spa and Convention Center7 Hope Boulevard, Galveston",86
36,42,Shykatz,"1528 Avenue L, Galveston","{'lat': 29.3005619, 'lng': -94.78322530000001}","Shykatz1528 Avenue L, Galveston","Moody Gardens Hotel, Spa and Convention Center7 Hope Boulevard, Galveston",86
37,43,Taco Bell,"5701 Broadway Avenue J, Galveston","{'lat': 29.289309, 'lng': -94.8312941}","Taco Bell5701 Broadway Avenue J, Galveston","Moody Gardens Hotel, Spa and Convention Center7 Hope Boulevard, Galveston",86
38,45,Mario's Ristorante,"2202 61st Street, Galveston","{'lat': 29.27739529999999, 'lng': -94.83105309999999}","Mario's Ristorante2202 61st Street, Galveston","Moody Gardens Hotel, Spa and Convention Center7 Hope Boulevard, Galveston",86
39,48,Leo's Cajun Corner,"3201 Broadway Avenue J, Galveston","{'lat': 29.2968963, 'lng': -94.80271850000001}","Leo's Cajun Corner3201 Broadway Avenue J, Galveston","Yamato2104 61st Street, Galveston",86
40,50,Miller's Seawall Grill,"1824 Seawall Boulevard, Galveston","{'lat': 29.293238, 'lng': -94.7844559}","Miller's Seawall Grill1824 Seawall Boulevard, Galveston","Yamato2104 61st Street, Galveston",86
41,52,Nopalera,"5001 Broadway Avenue J, Galveston","{'lat': 29.29166979999999, 'lng': -94.8230533}","Nopalera5001 Broadway Avenue J, Galveston","Moody Gardens Hotel, Spa and Convention Center7 Hope Boulevard, Galveston",86
42,53,La Michoacana Meat Market,"3301 Broadway Avenue J, Galveston","{'lat': 29.2965863, 'lng': -94.8035795}","La Michoacana Meat Market3301 Broadway Avenue J, Galveston","Shrimp N Stuff3901 Avenue O, Galveston",86
43,55,Subway,"5902 A Broadway, Galveston","{'lat': 29.3064258, 'lng': -94.7718443}","Subway5902 A Broadway, Galveston","Moody Gardens Hotel, Spa and Convention Center7 Hope Boulevard, Galveston",86
44,56,Sonny's Place,"1206 19th Street, Galveston","{'lat': 29.2992722, 'lng': -94.7865791}","Sonny's Place1206 19th Street, Galveston","Moody Gardens Hotel, Spa and Convention Center7 Hope Boulevard, Galveston",86
45,57,Brick House Tavern + Tap,"3502A Seawall Boulevard, Galveston","{'lat': 29.2817539, 'lng': -94.8011578}","Brick House Tavern + Tap3502A Seawall Boulevard, Galveston","Shrimp N Stuff3901 Avenue O, Galveston",86
46,58,Mario's Pizza,"13708 Termini-San Luis Pass Road, Galveston","{'lat': 29.2084, 'lng': -94.937844}","Mario's Pizza13708 Termini-San Luis Pass Road, Galveston","Mario's Pizza13708 Termini-san Luis Pass Rd Galveston, TX 77554",90
47,59,Shearn's Seafood and Prime Steaks,"7 Hope Boulevard, Galveston","{'lat': 29.273078, 'lng': -94.850647}","Shearn's Seafood and Prime Steaks7 Hope Boulevard, Galveston","Shearn's Seafood and Prime Steaks7 Hope Blvd Galveston, TX 77554",87
53,65,McDonald's,"2912 61st Street, Galveston","{'lat': 29.26748, 'lng': -94.8264011}","McDonald's2912 61st Street, Galveston","Moody Gardens Hotel, Spa and Convention Center7 Hope Boulevard, Galveston",86
54,66,Circle K,"1927 61st Street, Galveston","{'lat': 29.279037, 'lng': -94.8332434}","Circle K1927 61st Street, Galveston","Moody Gardens Hotel, Spa and Convention Center7 Hope Boulevard, Galveston",86
55,67,The Proletariat Gallery & Public House,"2221 Market Street #100, Galveston","{'lat': 29.3053353, 'lng': -94.7935713}","The Proletariat Gallery & Public House2221 Market Street #100, Galveston","Rainforest Cafe5310 Seawall Boulevard, Galveston",86
56,68,Starbucks,"The University of Texas Medical Branch at, 301 University Boulevard, Galveston","{'lat': 29.3108034, 'lng': -94.7770571}","StarbucksThe University of Texas Medical Branch at, 301 University Boulevard, Galveston","Rainforest Cafe5310 Seawall Boulevard, Galveston",86
57,72,Gypsy Joynt,"6105 Stewart Road, Galveston","{'lat': 29.2740718, 'lng': -94.8315993}","Gypsy Joynt6105 Stewart Road, Galveston","Gypsy Joynt6105 Stewart Rd Galveston, TX 77551",88
58,74,MOD Coffeehouse,"2126 Postoffice St, Galveston","{'lat': 29.305025, 'lng': -94.7921056}","MOD Coffeehouse2126 Postoffice St, Galveston","Moody Gardens Hotel, Spa and Convention Center7 Hope Boulevard, Galveston",86
59,76,McDonald's,"517 Seawall Boulevard, Galveston","{'lat': 29.30509, 'lng': -94.7715399}","McDonald's517 Seawall Boulevard, Galveston","Moody Gardens Hotel, Spa and Convention Center7 Hope Boulevard, Galveston",86
60,77,Starbucks,"2931 Central City Boulevard, Galveston","{'lat': 29.2695972, 'lng': -94.8300421}","Starbucks2931 Central City Boulevard, Galveston","Moody Gardens Hotel, Spa and Convention Center7 Hope Boulevard, Galveston",86
61,78,Shipley Do-Nuts (Galveston),"5401 Broadway Avenue J, Galveston","{'lat': 29.2903048, 'lng': -94.8276061}","Shipley Do-Nuts (Galveston)5401 Broadway Avenue J, Galveston","Shrimp N Stuff3901 Avenue O, Galveston",86
62,79,Starbucks,"5730 Seawall Boulevard, Galveston","{'lat': 29.269011, 'lng': -94.824136}","Starbucks5730 Seawall Boulevard, Galveston","Moody Gardens Hotel, Spa and Convention Center7 Hope Boulevard, Galveston",86
64,84,Dawn Donuts Stewart Rd,"6304 Stewart Road, Galveston","{'lat': 29.2748506, 'lng': -94.8334139}","Dawn Donuts Stewart Rd6304 Stewart Road, Galveston","Yamato2104 61st Street, Galveston",86
65,85,Seawall Coffee Company,"3802 Cove View Boulevard Suite R, Galveston","{'lat': 29.244604, 'lng': -94.867899}","Seawall Coffee Company3802 Cove View Boulevard Suite R, Galveston","The Spot3204 Seawall Boulevard, Galveston",86
66,86,Sugar Bean,"11 Evia Main, Galveston","{'lat': 29.2610286, 'lng': -94.8704183}","Sugar Bean11 Evia Main, Galveston","Moody Gardens Hotel, Spa and Convention Center7 Hope Boulevard, Galveston",86
67,87,Starbucks,"Moody Avenue, Galveston","{'lat': 29.2727673, 'lng': -94.8508679}","StarbucksMoody Avenue, Galveston","Moody Gardens Hotel, Spa and Convention Center7 Hope Boulevard, Galveston",86
68,88,Horizon Espresso,"6101 Seawall Boulevard Suite 3, Galveston","{'lat': 29.2649278, 'lng': -94.8252111}","Horizon Espresso6101 Seawall Boulevard Suite 3, Galveston","Shrimp N Stuff3901 Avenue O, Galveston",86
69,89,"Island Spot hookah Bar , Food & smoke shop (Halal)","1017 61st Street, Galveston","{'lat': 29.28729819999999, 'lng': -94.83770000000001}","Island Spot hookah Bar , Food & smoke shop (Halal)1017 61st Street, Galveston","Rainforest Cafe5310 Seawall Boulevard, Galveston",86
70,90,Teaside Tapioca,"4702 Seawall Boulevard, Galveston","{'lat': 29.2744676, 'lng': -94.8131678}","Teaside Tapioca4702 Seawall Boulevard, Galveston","Moody Gardens Hotel, Spa and Convention Center7 Hope Boulevard, Galveston",86
71,91,McDonald's,"5223 Broadway Avenue J, Galveston","{'lat': 29.2909177, 'lng': -94.8257895}","McDonald's5223 Broadway Avenue J, Galveston","Moody Gardens Hotel, Spa and Convention Center7 Hope Boulevard, Galveston",86
72,92,CBD American Shaman Galveston,"4619 Fort Crockett Boulevard suite b, Galveston","{'lat': 29.276113, 'lng': -94.8134661}","CBD American Shaman Galveston4619 Fort Crockett Boulevard suite b, Galveston","Rainforest Cafe5310 Seawall Boulevard, Galveston",86
73,93,Willow Coffee,"820 51st Street, Galveston","{'lat': 29.2931488, 'lng': -94.8240208}","Willow Coffee820 51st Street, Galveston","Moody Gardens Hotel, Spa and Convention Center7 Hope Boulevard, Galveston",86
74,96,Balance Bean Coffee and Business Bar,"3225 Avenue L, Galveston","{'lat': 29.29511029999999, 'lng': -94.8025656}","Balance Bean Coffee and Business Bar3225 Avenue L, Galveston","Shrimp N Stuff3901 Avenue O, Galveston",86
75,97,Red Light Coffee Roasters,"2728 Market Street, Galveston","{'lat': 29.3040468, 'lng': -94.7995497}","Red Light Coffee Roasters2728 Market Street, Galveston","Yamato2104 61st Street, Galveston",86
76,98,Freckleberry Teahouse,"2724 Market Street, Galveston","{'lat': 29.3041968, 'lng': -94.79937}","Freckleberry Teahouse2724 Market Street, Galveston","Yamato2104 61st Street, Galveston",86
77,99,Toujouse,"2300 Ship Mechanic Row Street, Galveston","{'lat': 29.3062632, 'lng': -94.79483119999999}","Toujouse2300 Ship Mechanic Row Street, Galveston","Moody Gardens Hotel, Spa and Convention Center7 Hope Boulevard, Galveston",86
78,100,Hey Mikey's Ice Cream,"2120 Postoffice St, Galveston","{'lat': 29.3051204, 'lng': -94.79194}","Hey Mikey's Ice Cream2120 Postoffice St, Galveston","Yamato2104 61st Street, Galveston",86
79,101,Go Nuts and Beans,"102 20th Street ste c, Galveston","{'lat': 29.3087399, 'lng': -94.79104029999999}","Go Nuts and Beans102 20th Street ste c, Galveston","Russo's New York Pizzeria & Italian Kitchen - Galveston500 Seawall Boulevard #300, Galveston",86
80,102,Power Meater 500,"1904 Wharf Road, Galveston","{'lat': 29.31049789999999, 'lng': -94.78996389999999}","Power Meater 5001904 Wharf Road, Galveston","Moody Gardens Hotel, Spa and Convention Center7 Hope Boulevard, Galveston",86
81,103,PJ’s coffee,"712 Texas Avenue, Galveston","{'lat': 29.3114867, 'lng': -94.77805839999999}","PJ’s coffee712 Texas Avenue, Galveston","Moody Gardens Hotel, Spa and Convention Center7 Hope Boulevard, Galveston",86
164,226,Moody Gardens,"1 Hope Boulevard, Galveston","{'lat': 29.272762, 'lng': -94.8525073}","Moody Gardens1 Hope Boulevard, Galveston","Moody Gardens 3D Theater1 Hope Boulevard, Galveston",88
165,227,Galveston Island Historic Pleasure Pier,"2501 Seawall Boulevard, Galveston","{'lat': 29.28752919999999, 'lng': -94.7902046}","Galveston Island Historic Pleasure Pier2501 Seawall Boulevard, Galveston","Rainforest Cafe5310 Seawall Boulevard, Galveston",86
166,228,Palm Beach At Moody Gardens,"8928, 1 Hope Boulevard, Galveston","{'lat': 29.275732, 'lng': -94.850972}","Palm Beach At Moody Gardens8928, 1 Hope Boulevard, Galveston","Shrimp N Stuff3901 Avenue O, Galveston",86
167,229,Schlitterbahn Waterpark Galveston,"2109 Gene Lucas Blvd, Galveston","{'lat': 29.2703671, 'lng': -94.85173689999999}","Schlitterbahn Waterpark Galveston2109 Gene Lucas Blvd, Galveston","The Spot3204 Seawall Boulevard, Galveston",86
168,230,Rainforest Pyramid,"1 Hope Boulevard, Galveston","{'lat': 29.27549299999999, 'lng': -94.852722}","Rainforest Pyramid1 Hope Boulevard, Galveston","Moody Gardens Hotel, Spa and Convention Center7 Hope Boulevard, Galveston",86
169,231,Walmart Supercenter,"6702 Seawall Boulevard, Galveston","{'lat': 29.2651472, 'lng': -94.8329455}","Walmart Supercenter6702 Seawall Boulevard, Galveston","Walmart Bakery6702 Seawall Boulevard, Galveston",87
173,236,Orange Leaf Frozen Yogurt,"6606 Seawall Boulevard, Galveston","{'lat': 29.2638014, 'lng': -94.8319863}","Orange Leaf Frozen Yogurt6606 Seawall Boulevard, Galveston","Orange Leaf Frozen Yogurt6606 Seawall Blvd Galveston, TX 77551",87
174,237,Cinnabon,"2705 61st Street Suite H, Galveston","{'lat': 29.2719138, 'lng': -94.8297408}","Cinnabon2705 61st Street Suite H, Galveston","Moody Gardens Hotel, Spa and Convention Center7 Hope Boulevard, Galveston",86
175,238,Kroger Bakery,Galveston,"{'lat': 29.2690175, 'lng': -94.8237856}",Kroger BakeryGalveston,"Starbucks5730 Seawall Blvd Kroger Galveston, TX 77551",86
176,239,Chef Mary Bass,"1508 39th Street, Galveston","{'lat': 29.29061189999999, 'lng': -94.808531}","Chef Mary Bass1508 39th Street, Galveston","Moody Gardens Hotel, Spa and Convention Center7 Hope Boulevard, Galveston",86
177,240,Cinnabon,"500 Seawall Boulevard, Galveston","{'lat': 29.30644910000001, 'lng': -94.7718225}","Cinnabon500 Seawall Boulevard, Galveston","Moody Gardens Hotel, Spa and Convention Center7 Hope Boulevard, Galveston",86
178,241,Texas Star Bakery,"5425 Broadway Avenue J, Galveston","{'lat': 29.2903218, 'lng': -94.82835329999999}","Texas Star Bakery5425 Broadway Avenue J, Galveston","Yamato2104 61st Street, Galveston",86
179,245,Donut Palace,"2117 Broadway Avenue J, Galveston","{'lat': 29.3002844, 'lng': -94.7903171}","Donut Palace2117 Broadway Avenue J, Galveston","Moody Gardens Hotel, Spa and Convention Center7 Hope Boulevard, Galveston",86
181,248,PattyCakes Bakery,"704 14th Street, Galveston","{'lat': 29.3054245, 'lng': -94.78242000000002}","PattyCakes Bakery704 14th Street, Galveston","Moody Gardens Hotel, Spa and Convention Center7 Hope Boulevard, Galveston",86
182,249,Ben & Jerry’s,"4408 Seawall Boulevard, Galveston","{'lat': 29.276318, 'lng': -94.8098002}","Ben & Jerry’s4408 Seawall Boulevard, Galveston","Moody Gardens Hotel, Spa and Convention Center7 Hope Boulevard, Galveston",86
184,252,Tasty Galvy Treats,"6224 Central City Boulevard, Galveston","{'lat': 29.2613148, 'lng': -94.8407933}","Tasty Galvy Treats6224 Central City Boulevard, Galveston","Yaga's Cafe2314 The Strand, Galveston",86
185,253,Royal Creations By Meca,"2110 Ann Marie Lane, Galveston","{'lat': 29.2731481, 'lng': -94.843651}","Royal Creations By Meca2110 Ann Marie Lane, Galveston","Yamato2104 61st Street, Galveston",86
186,254,Home Cut Donuts,"6807 Stewart Road, Galveston","{'lat': 29.2716408, 'lng': -94.83804599999999}","Home Cut Donuts6807 Stewart Road, Galveston","Moody Gardens Hotel, Spa and Convention Center7 Hope Boulevard, Galveston",86
187,255,Walmart Bakery,"6702 Seawall Boulevard, Galveston","{'lat': 29.2651472, 'lng': -94.8329455}","Walmart Bakery6702 Seawall Boulevard, Galveston","Walmart Supercenter6702 Seawall Boulevard, Galveston",87
188,256,Lovejewel Treasure Treats,"6341 Stewart Road #120, Galveston","{'lat': 29.273798, 'lng': -94.8347187}","Lovejewel Treasure Treats6341 Stewart Road #120, Galveston","Shrimp N Stuff3901 Avenue O, Galveston",86
189,257,"Incredible Cakes Bakery, LLC","4528 Avenue S Up, Galveston","{'lat': 29.2802637, 'lng': -94.8137617}","Incredible Cakes Bakery, LLC4528 Avenue S Up, Galveston","Yamato2104 61st Street, Galveston",86
190,258,Bakery and Grocery Emmanuel,"2216 45th Street, Galveston","{'lat': 29.2824311, 'lng': -94.8133411}","Bakery and Grocery Emmanuel2216 45th Street, Galveston","Yamato2104 61st Street, Galveston",86
191,260,Good Dough,"1508 39th Street, Galveston","{'lat': 29.29061189999999, 'lng': -94.808531}","Good Dough1508 39th Street, Galveston","Moody Gardens Hotel, Spa and Convention Center7 Hope Boulevard, Galveston",86
192,261,Navarro Bakery,"3801 Broadway Avenue J, Galveston","{'lat': 29.2951814, 'lng': -94.8093306}","Navarro Bakery3801 Broadway Avenue J, Galveston","Moody Gardens Hotel, Spa and Convention Center7 Hope Boulevard, Galveston",86
193,262,Kelin,"3428 Avenue H, Galveston","{'lat': 29.2984813, 'lng': -94.8062745}","Kelin3428 Avenue H, Galveston","Moody Gardens Hotel, Spa and Convention Center7 Hope Boulevard, Galveston",86
194,263,Bakery and Grocery Emmanuel,"2216 Avenue R, Galveston","{'lat': 29.2871565, 'lng': -94.7939281}","Bakery and Grocery Emmanuel2216 Avenue R, Galveston","Yamato2104 61st Street, Galveston",86
195,264,Snow Flake Donuts,"3011 Broadway Avenue J, Galveston","{'lat': 29.2974861, 'lng': -94.8004139}","Snow Flake Donuts3011 Broadway Avenue J, Galveston","Yamato2104 61st Street, Galveston",86
196,265,Galveston Bagel Company,"1110 23rd Street, Galveston","{'lat': 29.2989118, 'lng': -94.7913851}","Galveston Bagel Company1110 23rd Street, Galveston","Yamato2104 61st Street, Galveston",86
197,267,Dawn Donuts Galveston,"706 Holiday Drive, Galveston","{'lat': 29.3083743, 'lng': -94.7708081}","Dawn Donuts Galveston706 Holiday Drive, Galveston","Russo's New York Pizzeria & Italian Kitchen - Galveston500 Seawall Boulevard #300, Galveston",86
