Name,Weekly_Dropoff_Totes,Daily_Pickup_Totes,Address,Latitude,Longitude
Moody Gardens,0,0,"1 Hope Blvd, Galveston",29.2736,-94.8523
Sugar Bean,1.0,1.0,"11 Evia Main, Galveston",29.261,-94.8704
MAC-IES,1.0,1.0,"1110 23rd Street, Galveston",29.2989,-94.7914
Good Dough,1.0,1.0,"1508 39th Street, Galveston",29.2906,-94.8085
Porch Cafe,1.0,1.0,"1625 East Beach Drive #2A, Galveston",29.3196,-94.7502
Coastal Grill,1.0,1.0,"1827 The Strand, Galveston",29.3082,-94.7895
Texas A&M University at Galveston,1.0,1.0,"200 Seawolf Parkway, Galveston",29.3155,-94.8183
Rudy & Paco Restaurant and Bar,1.0,1.0,"2028 Postoffice St, Galveston",29.3053,-94.7911
Vargas Cut and Catch,1.0,1.0,"2102 Postoffice Street, Galveston",29.3052,-94.7914
MarMo Cafe & Lounge,1.0,1.0,"2121 Market Street suite 101, Galveston",29.3056,-94.7921
Toujouse (listed under Tremont House),1.0,1.0,"2300 Ship Mechanic Row Street, Galveston",29.3063,-94.7948
The Pink Foyer Sweets Boutique,1.0,1.0,"2315 Mechanic Street, Galveston",29.306,-94.7946
Riondo's Ristorante,1.0,1.0,"2328 The Strand, Galveston",29.307,-94.7955
Sugar & Rye,1.0,1.0,"2401 Church Street, Galveston",29.3031,-94.7945
Maceo Spice & Import Company,1.0,1.0,"2706 Market Street, Galveston",29.3042,-94.7988
BLVD Seafood (all of Yagas Entertainment),1.0,1.0,"2804 Avenue R 1/2, Galveston",29.2866,-94.794
Galveston College,1.0,1.0,"4015 Avenue Q, Galveston",29.2841,-94.8085
Galveston College Charlie Thomas Family Applied Technology Center,2.0,3.0,"7626 Broadway Street, Galveston",29.2876,-94.8568
Galveston Country club,1.0,1.0,"14888 Stewart rd Galveston, TX 77554",29.289,-94.8627
Mr. C's Dugout @Galveston College,1.0,1.0,"Student Center, 4015 Avenue Q, Galveston",29.2847,-94.8078
Galveston Bagel Company,1.0,1.0,"1110 23rd Street, Galveston",29.2989,-94.7914
Shykatz,1.0,2.0,"1528 Avenue L, Galveston",29.3006,-94.7832
Cajun Greek,1.0,1.0,"2226 61st St Galveston, TX 77551",29.2769,-94.8316
Leeland House Galveston,1.0,1.0,"2711 Market Street, Galveston",29.3039,-94.7989
Red Light Coffee Roasters,1.0,1.0,"2728 Market Street, Galveston",29.304,-94.7995
Gaido's,1.0,1.0,"3828 Seawall Boulevard, Galveston",29.2796,-94.8045
Eatcetera,1.0,1.0,"408 25th Street, Galveston",29.3045,-94.7958
Star Drug Store,1.0,2.0,"510 23rd Street, Galveston",29.3042,-94.7932
The Sunflower Bakery & Cafe,1.0,1.0,"512 14th Street, Galveston",29.307,-94.783
Mosquito Cafe,1.0,1.0,"628 14th Street, Galveston",29.3057,-94.7825
PattyCakes Bakery,1.0,1.0,"704 14th Street, Galveston",29.3054,-94.7824
Sapori,1.0,1.0,"7611 Stewart Road, Galveston",29.2593,-94.8413
Outdoor Point,0,1,Outdoor Point,29.3324,-94.7386
Outdoor Point,0,1,Outdoor Point,29.3262,-94.7437
Outdoor Point,0,1,Outdoor Point,29.3291,-94.7398
Outdoor Point,0,1,Outdoor Point,29.3316,-94.7341
Outdoor Point,0,1,Outdoor Point,29.3127,-94.7607
Outdoor Point,0,1,Outdoor Point,29.3151,-94.757
Outdoor Point,0,1,Outdoor Point,29.3076,-94.7726
Outdoor Point,0,1,Outdoor Point,29.305,-94.7723
Outdoor Point,0,1,Outdoor Point,29.3258,-94.7718
Outdoor Point,0,1,Outdoor Point,29.3176,-94.7774
Outdoor Point,0,1,Outdoor Point,29.3194,-94.7749
Outdoor Point,0,1,Outdoor Point,29.3112,-94.7787
Outdoor Point,0,1,Outdoor Point,29.3115,-94.778
Outdoor Point,0,1,Outdoor Point,29.3101,-94.7792
Outdoor Point,0,1,Outdoor Point,29.3089,-94.7801
Outdoor Point,0,1,Outdoor Point,29.3084,-94.7898
Outdoor Point,0,1,Outdoor Point,29.308,-94.7909
Outdoor Point,0,1,Outdoor Point,29.3077,-94.7921
Outdoor Point,0,1,Outdoor Point,29.3074,-94.7931
Outdoor Point,0,1,Outdoor Point,29.3072,-94.7943
Outdoor Point,0,1,Outdoor Point,29.3066,-94.7966
Outdoor Point,0,1,Outdoor Point,29.3069,-94.7917
Outdoor Point,0,1,Outdoor Point,29.3066,-94.7929
Outdoor Point,0,1,Outdoor Point,29.3063,-94.7941
Outdoor Point,0,1,Outdoor Point,29.306,-94.7952
Outdoor Point,0,1,Outdoor Point,29.3055,-94.7941
Outdoor Point,0,1,Outdoor Point,29.305,-94.7935
Outdoor Point,0,1,Outdoor Point,29.3049,-94.7914
Outdoor Point,0,1,Outdoor Point,29.3055,-94.7901
Outdoor Point,0,1,Outdoor Point,29.3049,-94.7922
Outdoor Point,0,1,Outdoor Point,29.304,-94.7952
Outdoor Point,0,1,Outdoor Point,29.2976,-94.7909
Outdoor Point,0,1,Outdoor Point,29.3016,-94.7957
Outdoor Point,0,1,Outdoor Point,29.3016,-94.7755
Outdoor Point,0,1,Outdoor Point,29.3074,-94.7744
Outdoor Point,0,1,Outdoor Point,29.2981,-94.7781
Outdoor Point,0,1,Outdoor Point,29.296,-94.7809
Outdoor Point,0,1,Outdoor Point,29.2943,-94.7828
Outdoor Point,0,1,Outdoor Point,29.2927,-94.7862
Outdoor Point,0,1,Outdoor Point,29.2921,-94.7867
Outdoor Point,0,1,Outdoor Point,29.2898,-94.7889
Outdoor Point,0,1,Outdoor Point,29.2871,-94.7901
Outdoor Point,0,1,Outdoor Point,29.2882,-94.7909
Outdoor Point,0,1,Outdoor Point,29.2873,-94.7923
Outdoor Point,0,1,Outdoor Point,29.2859,-94.7945
Outdoor Point,0,1,Outdoor Point,29.2899,-94.8383
Outdoor Point,0,1,Outdoor Point,29.2892,-94.8395
Outdoor Point,0,1,Outdoor Point,29.2933,-94.7957
Outdoor Point,0,1,Outdoor Point,29.2942,-94.7876
Outdoor Point,0,1,Outdoor Point,29.2886,-94.7903
Outdoor Point,0,1,Outdoor Point,29.2836,-94.7979
Outdoor Point,0,1,Outdoor Point,29.2822,-94.8001
Outdoor Point,0,1,Outdoor Point,29.2811,-94.8017
Outdoor Point,0,1,Outdoor Point,29.2797,-94.8039
Outdoor Point,0,1,Outdoor Point,29.2801,-94.8031
Outdoor Point,0,1,Outdoor Point,29.2882,-94.8111
Outdoor Point,0,1,Outdoor Point,29.2753,-94.8118
Outdoor Point,0,1,Outdoor Point,29.2707,-94.8202
Outdoor Point,0,1,Outdoor Point,29.2725,-94.8184
Outdoor Point,0,1,Outdoor Point,29.2725,-94.8165
Outdoor Point,0,1,Outdoor Point,29.2734,-94.8157
Outdoor Point,0,1,Outdoor Point,29.2745,-94.8191
Outdoor Point,0,1,Outdoor Point,29.2808,-94.8106
Outdoor Point,0,1,Outdoor Point,29.2834,-94.816
Outdoor Point,0,1,Outdoor Point,29.2767,-94.809
Outdoor Point,0,1,Outdoor Point,29.2777,-94.807
Outdoor Point,0,1,Outdoor Point,29.2689,-94.8235
Outdoor Point,0,1,Outdoor Point,29.2671,-94.8258
Outdoor Point,0,1,Outdoor Point,29.2678,-94.8268
Outdoor Point,0,1,Outdoor Point,29.2716,-94.8296
Outdoor Point,0,1,Outdoor Point,29.2708,-94.829
Outdoor Point,0,1,Outdoor Point,29.2699,-94.8284
Outdoor Point,0,1,Outdoor Point,29.2704,-94.8281
Outdoor Point,0,1,Outdoor Point,29.274,-94.8315
Outdoor Point,0,1,Outdoor Point,29.275,-94.8315
Outdoor Point,0,1,Outdoor Point,29.276,-94.8311
Outdoor Point,0,1,Outdoor Point,29.2796,-94.8325
Outdoor Point,0,1,Outdoor Point,29.2912,-94.8395
Outdoor Point,0,1,Outdoor Point,29.2878,-94.8374
Outdoor Point,0,1,Outdoor Point,29.2904,-94.8411
Outdoor Point,0,1,Outdoor Point,29.2791,-94.833
Outdoor Point,0,1,Outdoor Point,29.2851,-94.8575
Outdoor Point,0,1,Outdoor Point,29.2633,-94.8323
Outdoor Point,0,1,Outdoor Point,29.2644,-94.8298
Outdoor Point,0,1,Outdoor Point,29.2657,-94.8274
Outdoor Point,0,1,Outdoor Point,29.2651,-94.827
Outdoor Point,0,1,Outdoor Point,29.2648,-94.8324
Outdoor Point,0,1,Outdoor Point,29.2626,-94.8341
Outdoor Point,0,1,Outdoor Point,29.2728,-94.8509
Outdoor Point,0,1,Outdoor Point,29.2736,-94.849
Outdoor Point,0,1,Outdoor Point,29.2753,-94.8517
Outdoor Point,0,1,Outdoor Point,29.2742,-94.8528
Outdoor Point,0,1,Outdoor Point,29.2652,-94.8691
Outdoor Point,0,1,Outdoor Point,29.2475,-94.8601
Outdoor Point,0,1,Outdoor Point,29.2514,-94.8532
Outdoor Point,0,1,Outdoor Point,29.2557,-94.8453
Outdoor Point,0,1,Outdoor Point,29.2534,-94.8495
Outdoor Point,0,1,Outdoor Point,29.2557,-94.8501
Outdoor Point,0,1,Outdoor Point,29.2444,-94.8679
Outdoor Point,0,1,Outdoor Point,29.243,-94.8678
Outdoor Point,0,1,Outdoor Point,29.2406,-94.878
Outdoor Point,0,1,Outdoor Point,29.239,-94.8779
Outdoor Point,0,1,Outdoor Point,29.2097,-94.9484
Outdoor Point,0,1,Outdoor Point,29.2073,-94.9492
Outdoor Point,0,1,Outdoor Point,29.2081,-94.9376
Outdoor Point,0,1,Outdoor Point,29.1424,-95.0478
Outdoor Point,0,1,Outdoor Point,29.1293,-95.0701
Outdoor Point,0,1,Outdoor Point,29.105,-95.0959
Outdoor Point,0,1,Outdoor Point,29.181,-94.9761
Outdoor Point,0,1,Outdoor Point,29.3349,-94.7791
Outdoor Point,0,1,Outdoor Point,29.3121,-94.7749
Outdoor Point,0,1,Outdoor Point,29.3115,-94.7672
Outdoor Point,0,1,Outdoor Point,29.3101,-94.7683
Outdoor Point,0,1,Outdoor Point,29.3086,-94.7955
Outdoor Point,0,1,Outdoor Point,29.3101,-94.792
Outdoor Point,0,1,Outdoor Point,29.3123,-94.7821
Outdoor Point,0,1,Outdoor Point,29.2747,-94.8211
Outdoor Point,0,1,Outdoor Point,29.3024,-94.7922
Outdoor Point,0,1,Outdoor Point,29.3033,-94.7812
Outdoor Point,0,1,Outdoor Point,29.304,-94.7889
Outdoor Point,0,1,Outdoor Point,29.3041,-94.7904
Outdoor Point,0,1,Outdoor Point,29.2992,-94.7936
Outdoor Point,0,1,Outdoor Point,29.2984,-94.7934
Outdoor Point,0,1,Outdoor Point,29.2912,-94.8246
Outdoor Point,0,1,Outdoor Point,29.2084,-94.9374
Outdoor Point,0,1,Outdoor Point,29.2864,-94.8607
Outdoor Point,0,1,Outdoor Point,29.271,-94.8509
Outdoor Point,0,1,Outdoor Point,29.2696,-94.8519
