,0,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,15,15,16,16,17,17
0,0.0,5143.2,5143.2,8990.2,8990.2,6368.1,6368.1,13815.7,13815.7,10253.6,10253.6,9602.4,9602.4,9632.7,9632.7,9629.0,9629.0,9691.5,9691.5,9789.6,9789.6,9912.8,9912.8,9626.1,9626.1,9141.5,9141.5,9323.5,9323.5,6932.9,6932.9,5437.0,5437.0,6324.5,6324.5
1,5286.6,0.0,0.0,12326.0,12326.0,9623.2,9623.2,15375.9,15375.9,13589.5,13589.5,12938.2,12938.2,12968.5,12968.5,12964.8,12964.8,13027.3,13027.3,13125.4,13125.4,13248.6,13248.6,12961.9,12961.9,12477.3,12477.3,12659.3,12659.3,9518.9,9518.9,8692.1,8692.1,9660.3,9660.3
1,5286.6,0.0,0.0,12326.0,12326.0,9623.2,9623.2,15375.9,15375.9,13589.5,13589.5,12938.2,12938.2,12968.5,12968.5,12964.8,12964.8,13027.3,13027.3,13125.4,13125.4,13248.6,13248.6,12961.9,12961.9,12477.3,12477.3,12659.3,12659.3,9518.9,9518.9,8692.1,8692.1,9660.3,9660.3
2,8678.1,11909.4,11909.4,0.0,0.0,2614.5,2614.5,5088.0,5088.0,1389.6,1389.6,7453.6,7453.6,905.0,905.0,901.3,901.3,967.6,967.6,928.2,928.2,913.0,913.0,1092.9,1092.9,650.0,650.0,1268.0,1268.0,1842.0,1842.0,3196.7,3196.7,6681.9,6681.9
2,8678.1,11909.4,11909.4,0.0,0.0,2614.5,2614.5,5088.0,5088.0,1389.6,1389.6,7453.6,7453.6,905.0,905.0,901.3,901.3,967.6,967.6,928.2,928.2,913.0,913.0,1092.9,1092.9,650.0,650.0,1268.0,1268.0,1842.0,1842.0,3196.7,3196.7,6681.9,6681.9
3,6410.6,9642.0,9642.0,2574.4,2574.4,0.0,0.0,7399.9,7399.9,3701.5,3701.5,5968.7,5968.7,3216.9,3216.9,3213.2,3213.2,3275.7,3275.7,3098.0,3098.0,3113.3,3113.3,3168.6,3168.6,2725.7,2725.7,2562.3,2562.3,2079.3,2079.3,929.2,929.2,5260.2,5260.2
3,6410.6,9642.0,9642.0,2574.4,2574.4,0.0,0.0,7399.9,7399.9,3701.5,3701.5,5968.7,5968.7,3216.9,3216.9,3213.2,3213.2,3275.7,3275.7,3098.0,3098.0,3113.3,3113.3,3168.6,3168.6,2725.7,2725.7,2562.3,2562.3,2079.3,2079.3,929.2,929.2,5260.2,5260.2
4,14122.0,17353.3,17353.3,5111.7,5111.7,7424.9,7424.9,0.0,0.0,5271.7,5271.7,11966.6,11966.6,5250.3,5250.3,5246.6,5246.6,5542.6,5542.6,5829.3,5829.3,5844.6,5844.6,5899.9,5899.9,5457.0,5457.0,6073.9,6073.9,6046.4,6046.4,8308.3,8308.3,11487.8,11487.8
4,14122.0,17353.3,17353.3,5111.7,5111.7,7424.9,7424.9,0.0,0.0,5271.7,5271.7,11966.6,11966.6,5250.3,5250.3,5246.6,5246.6,5542.6,5542.6,5829.3,5829.3,5844.6,5844.6,5899.9,5899.9,5457.0,5457.0,6073.9,6073.9,6046.4,6046.4,8308.3,8308.3,11487.8,11487.8
5,10070.5,13301.8,13301.8,1389.9,1389.9,4006.9,4006.9,5292.1,5292.1,0.0,0.0,7113.2,7113.2,720.2,720.2,716.5,716.5,483.9,483.9,604.8,604.8,589.5,589.5,627.1,627.1,975.8,975.8,1142.1,1142.1,2989.8,2989.8,4589.0,4589.0,7766.0,7766.0
5,10070.5,13301.8,13301.8,1389.9,1389.9,4006.9,4006.9,5292.1,5292.1,0.0,0.0,7113.2,7113.2,720.2,720.2,716.5,716.5,483.9,483.9,604.8,604.8,589.5,589.5,627.1,627.1,975.8,975.8,1142.1,1142.1,2989.8,2989.8,4589.0,4589.0,7766.0,7766.0
6,9554.0,12785.3,12785.3,7580.6,7580.6,5967.8,5967.8,11880.0,11880.0,7117.7,7117.7,0.0,0.0,7174.8,7174.8,7139.9,7139.9,7033.4,7033.4,6653.6,6653.6,6776.8,6776.8,6490.1,6490.1,6933.1,6933.1,6187.5,6187.5,8109.2,8109.2,6388.9,6388.9,7250.9,7250.9
6,9554.0,12785.3,12785.3,7580.6,7580.6,5967.8,5967.8,11880.0,11880.0,7117.7,7117.7,0.0,0.0,7174.8,7174.8,7139.9,7139.9,7033.4,7033.4,6653.6,6653.6,6776.8,6776.8,6490.1,6490.1,6933.1,6933.1,6187.5,6187.5,8109.2,8109.2,6388.9,6388.9,7250.9,7250.9
7,10012.5,13243.9,13243.9,1332.0,1332.0,3949.0,3949.0,5234.2,5234.2,485.1,485.1,7367.8,7367.8,0.0,0.0,430.2,430.2,406.7,406.7,728.7,728.7,713.4,713.4,891.2,891.2,689.5,689.5,1064.9,1064.9,2931.9,2931.9,4531.1,4531.1,7708.1,7708.1
7,10012.5,13243.9,13243.9,1332.0,1332.0,3949.0,3949.0,5234.2,5234.2,485.1,485.1,7367.8,7367.8,0.0,0.0,430.2,430.2,406.7,406.7,728.7,728.7,713.4,713.4,891.2,891.2,689.5,689.5,1064.9,1064.9,2931.9,2931.9,4531.1,4531.1,7708.1,7708.1
8,9580.8,12812.1,12812.1,901.2,901.2,3213.9,3213.9,5266.8,5266.8,490.2,490.2,7135.0,7135.0,33.0,33.0,0.0,0.0,168.8,168.8,490.8,490.8,475.5,475.5,653.3,653.3,487.4,487.4,827.0,827.0,2930.9,2930.9,4099.4,4099.4,7276.8,7276.8
8,9580.8,12812.1,12812.1,901.2,901.2,3213.9,3213.9,5266.8,5266.8,490.2,490.2,7135.0,7135.0,33.0,33.0,0.0,0.0,168.8,168.8,490.8,490.8,475.5,475.5,653.3,653.3,487.4,487.4,827.0,827.0,2930.9,2930.9,4099.4,4099.4,7276.8,7276.8
9,9749.6,12980.9,12980.9,967.6,967.6,3231.2,3231.2,5434.8,5434.8,483.5,483.5,7024.5,7024.5,201.8,201.8,168.8,168.8,0.0,0.0,381.0,381.0,365.7,365.7,543.5,543.5,549.9,549.9,717.2,717.2,2948.1,2948.1,4268.2,4268.2,7294.0,7294.0
9,9749.6,12980.9,12980.9,967.6,967.6,3231.2,3231.2,5434.8,5434.8,483.5,483.5,7024.5,7024.5,201.8,201.8,168.8,168.8,0.0,0.0,381.0,381.0,365.7,365.7,543.5,543.5,549.9,549.9,717.2,717.2,2948.1,2948.1,4268.2,4268.2,7294.0,7294.0
10,9736.3,12967.6,12967.6,928.2,928.2,3099.4,3099.4,5753.7,5753.7,604.4,604.4,6648.7,6648.7,522.4,522.4,490.8,490.8,381.0,381.0,0.0,0.0,15.3,15.3,163.2,163.2,372.2,372.2,538.7,538.7,2627.9,2627.9,3982.6,3982.6,7433.2,7433.2
10,9736.3,12967.6,12967.6,928.2,928.2,3099.4,3099.4,5753.7,5753.7,604.4,604.4,6648.7,6648.7,522.4,522.4,490.8,490.8,381.0,381.0,0.0,0.0,15.3,15.3,163.2,163.2,372.2,372.2,538.7,538.7,2627.9,2627.9,3982.6,3982.6,7433.2,7433.2
11,9751.5,12982.9,12982.9,913.0,913.0,3226.2,3226.2,5738.5,5738.5,589.1,589.1,6664.0,6664.0,507.2,507.2,475.5,475.5,365.7,365.7,15.3,15.3,0.0,0.0,178.5,178.5,387.4,387.4,662.6,662.6,2943.1,2943.1,3997.8,3997.8,7448.5,7448.5
11,9751.5,12982.9,12982.9,913.0,913.0,3226.2,3226.2,5738.5,5738.5,589.1,589.1,6664.0,6664.0,507.2,507.2,475.5,475.5,365.7,365.7,15.3,15.3,0.0,0.0,178.5,178.5,387.4,387.4,662.6,662.6,2943.1,2943.1,3997.8,3997.8,7448.5,7448.5
12,9573.1,12804.4,12804.4,1093.1,1093.1,3169.7,3169.7,5920.4,5920.4,627.0,627.0,6485.5,6485.5,684.9,684.9,653.5,653.5,543.7,543.7,163.4,163.4,178.7,178.7,0.0,0.0,443.0,443.0,610.3,610.3,3024.0,3024.0,4053.4,4053.4,7270.0,7270.0
12,9573.1,12804.4,12804.4,1093.1,1093.1,3169.7,3169.7,5920.4,5920.4,627.0,627.0,6485.5,6485.5,684.9,684.9,653.5,653.5,543.7,543.7,163.4,163.4,178.7,178.7,0.0,0.0,443.0,443.0,610.3,610.3,3024.0,3024.0,4053.4,4053.4,7270.0,7270.0
13,9091.8,12323.1,12323.1,650.1,650.1,2726.8,2726.8,5477.4,5477.4,974.5,974.5,6928.4,6928.4,490.3,490.3,486.6,486.6,550.0,550.0,372.3,372.3,387.6,387.6,442.9,442.9,0.0,0.0,616.7,616.7,2255.7,2255.7,3610.4,3610.4,6789.6,6789.6
13,9091.8,12323.1,12323.1,650.1,650.1,2726.8,2726.8,5477.4,5477.4,974.5,974.5,6928.4,6928.4,490.3,490.3,486.6,486.6,550.0,550.0,372.3,372.3,387.6,387.6,442.9,442.9,0.0,0.0,616.7,616.7,2255.7,2255.7,3610.4,3610.4,6789.6,6789.6
14,9275.1,12506.4,12506.4,1268.6,1268.6,2858.1,2858.1,6094.0,6094.0,1141.7,1141.7,6187.5,6187.5,858.0,858.0,827.0,827.0,717.2,717.2,538.7,538.7,554.0,554.0,610.1,610.1,616.5,616.5,0.0,0.0,2278.2,2278.2,3446.2,3446.2,6921.0,6921.0
14,9275.1,12506.4,12506.4,1268.6,1268.6,2858.1,2858.1,6094.0,6094.0,1141.7,1141.7,6187.5,6187.5,858.0,858.0,827.0,827.0,717.2,717.2,538.7,538.7,554.0,554.0,610.1,610.1,616.5,616.5,0.0,0.0,2278.2,2278.2,3446.2,3446.2,6921.0,6921.0
15,7287.8,9462.4,9462.4,1905.4,1905.4,2080.0,2080.0,6012.8,6012.8,2990.0,2990.0,8472.3,8472.3,2933.0,2933.0,2929.3,2929.3,2991.8,2991.8,2814.1,2814.1,2829.4,2829.4,3023.8,3023.8,2441.8,2441.8,2278.2,2278.2,0.0,0.0,1611.4,1611.4,7294.9,7294.9
15,7287.8,9462.4,9462.4,1905.4,1905.4,2080.0,2080.0,6012.8,6012.8,2990.0,2990.0,8472.3,8472.3,2933.0,2933.0,2929.3,2929.3,2991.8,2991.8,2814.1,2814.1,2829.4,2829.4,3023.8,3023.8,2441.8,2441.8,2278.2,2278.2,0.0,0.0,1611.4,1611.4,7294.9,7294.9
16,5482.9,8714.2,8714.2,3254.6,3254.6,931.8,931.8,7717.9,7717.9,4589.7,4589.7,6389.5,6389.5,4103.3,4103.3,4099.6,4099.6,4161.9,4161.9,3984.2,3984.2,3999.4,3999.4,4156.4,4156.4,3611.8,3611.8,3448.3,3448.3,1656.1,1656.1,0.0,0.0,5678.6,5678.6
16,5482.9,8714.2,8714.2,3254.6,3254.6,931.8,931.8,7717.9,7717.9,4589.7,4589.7,6389.5,6389.5,4103.3,4103.3,4099.6,4099.6,4161.9,4161.9,3984.2,3984.2,3999.4,3999.4,4156.4,4156.4,3611.8,3611.8,3448.3,3448.3,1656.1,1656.1,0.0,0.0,5678.6,5678.6
17,7728.1,10959.4,10959.4,8104.3,8104.3,6681.2,6681.2,12929.8,12929.8,8074.3,8074.3,7273.5,7273.5,8131.4,8131.4,8096.5,8096.5,7990.0,7990.0,7610.2,7610.2,7733.4,7733.4,7446.7,7446.7,7889.7,7889.7,7144.1,7144.1,8714.8,8714.8,7101.5,7101.5,0.0,0.0
17,7728.1,10959.4,10959.4,8104.3,8104.3,6681.2,6681.2,12929.8,12929.8,8074.3,8074.3,7273.5,7273.5,8131.4,8131.4,8096.5,8096.5,7990.0,7990.0,7610.2,7610.2,7733.4,7733.4,7446.7,7446.7,7889.7,7889.7,7144.1,7144.1,8714.8,8714.8,7101.5,7101.5,0.0,0.0
